symbol,baseAsset,quoteAsset,status,exchange,type,trading_type,asset_id,decimals,szDecimals,priceDecimals,isLinear
CYBER,CYBER,USD,TRADING,hyperliquid,perpetual,永续合约,45,0,1,0,True
ZRO,ZRO,USD,TRADING,hyperliquid,perpetual,永续合约,46,0,1,0,True
BLZ,BLZ,USD,TRADING,hyperliquid,perpetual,永续合约,47,0,0,0,True
DOT,DOT,USD,TRADING,hyperliquid,perpetual,永续合约,48,0,1,0,True
BANANA,BANANA,USD,TRADING,hyperliquid,perpetual,永续合约,49,0,1,0,True
TRB,TRB,USD,TRADING,hyperliquid,perpetual,永续合约,50,0,2,0,True
FTT,FTT,USD,TRADING,hyperliquid,perpetual,永续合约,51,0,1,0,True
LOOM,LOOM,USD,TRADING,hyperliquid,perpetual,永续合约,52,0,0,0,True
OGN,OGN,USD,TRADING,hyperliquid,perpetual,永续合约,53,0,0,0,True
RDNT,RDNT,USD,TRADING,hyperliquid,perpetual,永续合约,54,0,0,0,True
ARK,ARK,USD,TRADING,hyperliquid,perpetual,永续合约,55,0,0,0,True
BNT,BNT,USD,TRADING,hyperliquid,perpetual,永续合约,56,0,0,0,True
CANTO,CANTO,USD,TRADING,hyperliquid,perpetual,永续合约,57,0,0,0,True
REQ,REQ,USD,TRADING,hyperliquid,perpetual,永续合约,58,0,0,0,True
BIGTIME,BIGTIME,USD,TRADING,hyperliquid,perpetual,永续合约,59,0,0,0,True
KAS,KAS,USD,TRADING,hyperliquid,perpetual,永续合约,60,0,0,0,True
ORBS,ORBS,USD,TRADING,hyperliquid,perpetual,永续合约,61,0,0,0,True
BLUR,BLUR,USD,TRADING,hyperliquid,perpetual,永续合约,62,0,0,0,True
TIA,TIA,USD,TRADING,hyperliquid,perpetual,永续合约,63,0,1,0,True
BSV,BSV,USD,TRADING,hyperliquid,perpetual,永续合约,64,0,2,0,True
ADA,ADA,USD,TRADING,hyperliquid,perpetual,永续合约,65,0,0,0,True
TON,TON,USD,TRADING,hyperliquid,perpetual,永续合约,66,0,1,0,True
MINA,MINA,USD,TRADING,hyperliquid,perpetual,永续合约,67,0,0,0,True
POLYX,POLYX,USD,TRADING,hyperliquid,perpetual,永续合约,68,0,0,0,True
GAS,GAS,USD,TRADING,hyperliquid,perpetual,永续合约,69,0,1,0,True
PENDLE,PENDLE,USD,TRADING,hyperliquid,perpetual,永续合约,70,0,0,0,True
STG,STG,USD,TRADING,hyperliquid,perpetual,永续合约,71,0,0,0,True
FET,FET,USD,TRADING,hyperliquid,perpetual,永续合约,72,0,0,0,True
STRAX,STRAX,USD,TRADING,hyperliquid,perpetual,永续合约,73,0,0,0,True
NEAR,NEAR,USD,TRADING,hyperliquid,perpetual,永续合约,74,0,1,0,True
MEME,MEME,USD,TRADING,hyperliquid,perpetual,永续合约,75,0,0,0,True
ORDI,ORDI,USD,TRADING,hyperliquid,perpetual,永续合约,76,0,2,0,True
BADGER,BADGER,USD,TRADING,hyperliquid,perpetual,永续合约,77,0,1,0,True
NEO,NEO,USD,TRADING,hyperliquid,perpetual,永续合约,78,0,2,0,True
ZEN,ZEN,USD,TRADING,hyperliquid,perpetual,永续合约,79,0,2,0,True
FIL,FIL,USD,TRADING,hyperliquid,perpetual,永续合约,80,0,1,0,True
PYTH,PYTH,USD,TRADING,hyperliquid,perpetual,永续合约,81,0,0,0,True
