symbol,baseCurrency,quoteCurrency,status,displayName,fxStablecoin,maxSlippagePercentage,postOnly,limitOnly,cancelOnly,tradingDisabled,statusMessage,auctionMode,exchange,type,trading_type
UNI-GBP,UNI,GBP,online,UNI-GBP,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
ACH-USD,ACH,USD,online,ACH-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
PAX-USD,PAX,USD,online,PAX-USD,True,0.01000000,False,True,False,False,,False,coinbase,spot,现货
AVAX-BTC,AVAX,BTC,online,AVAX-BTC,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
LINK-BTC,LINK,BTC,online,LINK-BTC,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
HOPR-USD,HOPR,USD,online,HOPR-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
AVAX-EUR,AVAX,EUR,online,AVAX-EUR,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
ADA-GBP,ADA,GBP,online,ADA-GBP,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
HBAR-USD,HBAR,USD,online,HBAR-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
VELO-USD,VELO,USD,online,VELO-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
NEAR-USDT,NEAR,USDT,online,NEAR-USDT,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
POL-USD,POL,USD,online,POL/USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
MAGIC-USD,MAGIC,USD,online,MAGIC-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
UNI-BTC,UNI,BTC,online,UNI-BTC,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
IOTX-USD,IOTX,USD,online,IOTX-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
LPT-USD,LPT,USD,online,LPT-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
PAXG-USD,PAXG,USD,online,PAXG-USD,False,0.03000000,False,True,False,False,,False,coinbase,spot,现货
ORCA-USD,ORCA,USD,online,ORCA-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
CRV-USD,CRV,USD,online,CRV-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
QNT-USD,QNT,USD,online,QNT-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
ADA-BTC,ADA,BTC,online,ADA-BTC,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
TNSR-USD,TNSR,USD,online,TNSR/USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
ALEO-USD,ALEO,USD,online,ALEO/USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
DOGE-GBP,DOGE,GBP,online,DOGE-GBP,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
KAITO-USD,KAITO,USD,online,KAITO/USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
DEXT-USD,DEXT,USD,online,DEXT-USD,False,0.05000000,False,False,False,False,,False,coinbase,spot,现货
ADA-EUR,ADA,EUR,online,ADA-EUR,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
ENS-EUR,ENS,EUR,online,ENS-EUR,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
FLOW-USD,FLOW,USD,online,FLOW-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
SWELL-USD,SWELL,USD,online,SWELL/USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
SYRUP-USD,SYRUP,USD,online,SYRUP/USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
SWFTC-USD,SWFTC,USD,online,SWFTC-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
FOX-USD,FOX,USD,online,FOX-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
KNC-USD,KNC,USD,online,KNC-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
XLM-EUR,XLM,EUR,online,XLM-EUR,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
POLS-USD,POLS,USD,online,POLS-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
HONEY-USD,HONEY,USD,online,HONEY-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
DEGEN-USD,DEGEN,USD,online,DEGEN/USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
AKT-USD,AKT,USD,online,AKT/USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
MKR-BTC,MKR,BTC,online,MKR-BTC,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
AVAX-USDT,AVAX,USDT,online,AVAX-USDT,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
AAVE-GBP,AAVE,GBP,online,AAVE-GBP,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
FIL-USD,FIL,USD,online,FIL-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
