symbol,baseAsset,quoteAsset,status,exchange,type,trading_type,contractType
CAKEBNB,CAKE,BNB,TRADING,binance,spot,现货,
SXPTRY,SXP,TRY,TRADING,binance,spot,现货,
UTKUSDT,UTK,USDT,TRADING,binance,spot,现货,
XVSBNB,XVS,BNB,TRADING,binance,spot,现货,
XVSBTC,XVS,BTC,TRADING,binance,spot,现货,
XVSUSDT,XVS,USDT,TRADING,binance,spot,现货,
BTCBRL,BTC,BRL,TRADING,binance,spot,现货,
USDTBRL,USDT,BRL,TRADING,binance,spot,现货,
AAVEBTC,AAVE,BTC,TRADING,binance,spot,现货,
AAVEETH,AAVE,ETH,TRADING,binance,spot,现货,
AAVEUSDT,AAVE,USDT,TRADING,binance,spot,现货,
NEARBNB,NEAR,BNB,TRADING,binance,spot,现货,
NEARBTC,NEAR,BTC,TRADING,binance,spot,现货,
NEARUSDT,NEAR,USDT,TRADING,binance,spot,现货,
FILBTC,FIL,BTC,TRADING,binance,spot,现货,
FILUSDT,FIL,USDT,TRADING,binance,spot,现货,
INJBNB,INJ,BNB,TRADING,binance,spot,现货,
INJBTC,INJ,BTC,TRADING,binance,spot,现货,
INJUSDT,INJ,USDT,TRADING,binance,spot,现货,
LINKEUR,LINK,EUR,TRADING,binance,spot,现货,
AUDIOBTC,AUDIO,BTC,TRADING,binance,spot,现货,
AUDIOUSDT,AUDIO,USDT,TRADING,binance,spot,现货,
CTKBNB,CTK,BNB,TRADING,binance,spot,现货,
CTKBTC,CTK,BTC,TRADING,binance,spot,现货,
CTKUSDT,CTK,USDT,TRADING,binance,spot,现货,
ETHBRL,ETH,BRL,TRADING,binance,spot,现货,
DOTEUR,DOT,EUR,TRADING,binance,spot,现货,
AXSBNB,AXS,BNB,TRADING,binance,spot,现货,
AXSBTC,AXS,BTC,TRADING,binance,spot,现货,
AXSUSDT,AXS,USDT,TRADING,binance,spot,现货,
BNBBRL,BNB,BRL,TRADING,binance,spot,现货,
LTCEUR,LTC,EUR,TRADING,binance,spot,现货,
SLPETH,SLP,ETH,TRADING,binance,spot,现货,
ADAEUR,ADA,EUR,TRADING,binance,spot,现货,
STRAXBTC,STRAX,BTC,TRADING,binance,spot,现货,
STRAXUSDT,STRAX,USDT,TRADING,binance,spot,现货,
ROSEBTC,ROSE,BTC,TRADING,binance,spot,现货,
ROSEUSDT,ROSE,USDT,TRADING,binance,spot,现货,
AVAXTRY,AVAX,TRY,TRADING,binance,spot,现货,
AVAUSDT,AVA,USDT,TRADING,binance,spot,现货,
XRPBRL,XRP,BRL,TRADING,binance,spot,现货,
SKLBTC,SKL,BTC,TRADING,binance,spot,现货,
SKLUSDT,SKL,USDT,TRADING,binance,spot,现货,
BCHEUR,BCH,EUR,TRADING,binance,spot,现货,
GLMBTC,GLM,BTC,TRADING,binance,spot,现货,
LINKBRL,LINK,BRL,TRADING,binance,spot,现货,
TRXTRY,TRX,TRY,TRADING,binance,spot,现货,
XLMEUR,XLM,EUR,TRADING,binance,spot,现货,
GRTBTC,GRT,BTC,TRADING,binance,spot,现货,
GRTETH,GRT,ETH,TRADING,binance,spot,现货,
GRTUSDT,GRT,USDT,TRADING,binance,spot,现货,
JUVUSDT,JUV,USDT,TRADING,binance,spot,现货,
PSGUSDT,PSG,USDT,TRADING,binance,spot,现货,
1INCHBTC,1INCH,BTC,TRADING,binance,spot,现货,
1INCHUSDT,1INCH,USDT,TRADING,binance,spot,现货,
OGBTC,OG,BTC,TRADING,binance,spot,现货,
OGUSDT,OG,USDT,TRADING,binance,spot,现货,
ATMUSDT,ATM,USDT,TRADING,binance,spot,现货,
ASRUSDT,ASR,USDT,TRADING,binance,spot,现货,
CELOBTC,CELO,BTC,TRADING,binance,spot,现货,
CELOUSDT,CELO,USDT,TRADING,binance,spot,现货,
RIFBTC,RIF,BTC,TRADING,binance,spot,现货,
RIFUSDT,RIF,USDT,TRADING,binance,spot,现货,
CHZTRY,CHZ,TRY,TRADING,binance,spot,现货,
XLMTRY,XLM,TRY,TRADING,binance,spot,现货,
GRTEUR,GRT,EUR,TRADING,binance,spot,现货,
TRUUSDT,TRU,USDT,TRADING,binance,spot,现货,
LTCBRL,LTC,BRL,TRADING,binance,spot,现货,
CKBUSDT,CKB,USDT,TRADING,binance,spot,现货,
TWTUSDT,TWT,USDT,TRADING,binance,spot,现货,
DOGEEUR,DOGE,EUR,TRADING,binance,spot,现货,
DOGETRY,DOGE,TRY,TRADING,binance,spot,现货,
DOGEBRL,DOGE,BRL,TRADING,binance,spot,现货,
