symbol,baseAsset,quoteAsset,status,exchange,type,trading_type,korean_name,english_name,trade_price,change,change_rate,high_price,low_price,acc_trade_volume_24h,acc_trade_price_24h,timestamp
USDT-INJ,INJ,USDT,TRADING,upbit,spot,现货,인젝티브,Injective,12.49,EVEN,0.0,12.49,12.49,2.56204963,31.99999988,1754148391138
BTC-SAND,SAND,BTC,TRADING,upbit,spot,现货,샌드박스,The Sandbox,2.31e-06,FALL,0.0796812749,2.31e-06,2.31e-06,1137.30378546,0.00262717,1754141695575
KRW-ENS,ENS,KRW,TRADING,upbit,spot,现货,이더리움네임서비스,Ethereum Name Service,35380.0,RISE,0.0028344671,36070.0,34800.0,524950.39968613,18568426717.171593,1754148391063
KRW-GRT,GRT,KRW,TRADING,upbit,spot,现货,더그래프,The Graph,125.0,FALL,0.0157480315,129.0,124.0,17638520.39291324,2224596992.71409,1754148390894
BTC-AFC,AFC,BTC,TRADING,upbit,spot,现货,아스날,Arsenal Fan Token,3.7e-06,FALL,0.0080428954,3.7e-06,3.48e-06,217.17858828,0.0007634,1754148390834
BTC-ENA,ENA,BTC,TRADING,upbit,spot,现货,에테나,Ethena,5.08e-06,FALL,0.0097465887,5.2e-06,5.08e-06,5306.15607326,0.02721799,1754148386599
BTC-BLUR,BLUR,BTC,TRADING,upbit,spot,现货,블러,Blur,7.3e-07,FALL,0.0641025641,7.3e-07,7.3e-07,2613.34895833,0.00190774,1754137675793
KRW-XTZ,XTZ,KRW,TRADING,upbit,spot,现货,테조스,Tezos,1045.0,FALL,0.0066539924,1064.0,1029.0,1303328.68480731,1369259892.5597205,1754148390540
BTC-TUSD,TUSD,BTC,TRADING,upbit,spot,现货,트루USD,TrueUSD,8.58e-06,RISE,0.0035087719,8.73e-06,8.58e-06,475.39393848,0.00413962,1754148390211
KRW-CKB,CKB,KRW,TRADING,upbit,spot,现货,너보스,Nervos Network,7.48,RISE,0.0067294751,8.05,7.21,3030651145.2719893,23177784342.734756,1754148391116
BTC-ENJ,ENJ,BTC,TRADING,upbit,spot,现货,엔진코인,Enjin,5.8e-07,EVEN,0.0,5.9e-07,5.8e-07,8564.94180883,0.00498793,1754148390310
